IC50_label,smiles
0,CC(C)(C)C1=NN(C(=C1)C(=O)NC(CC2=CC(=CC=C2)C3=NN=C(O3)CN)C(=O)NCC#N)C
0,C1CCN(C1)C#N
0,C1CCC(CC1)NC2=CC=CC(=N2)C#N
0,COC(=O)N1CC2(CC2)CC(C1C(=O)N3CCC(=CC3)C4=CC=CC=C4)C(=O)NO
0,CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)O
0,CC(C)CC(C(C(CC1CCCCC1)NC(=O)C(CC(C)C)NC(CCC2=CC=CC=C2)C(=O)OC(C)(C)C)O)O
0,CC(C)CC(C(C(CC1CCCCC1)NC(=O)C(C)NC(CC2=CC=CC=C2)C(=O)N3CCOCC3)O)O
0,CC(C(=O)NC(C=O)C1CCCCC1)NC(=O)C(CC2=CC=CC=C2)NC(=O)OC(C)(C)C
0,CCC(C)CNC(=O)CC(C(CC(C)C)NC(=O)C(N)NC(=O)C(CC1=CC=CC2=CC=CC=C21)CC3=CC=CC4=CC=CC=C43)O
0,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)O)NC(=O)C(CC(C)C)NCC(CC(C)C)NC(=O)C(CC2=CN=CN2)NC(=O)C(CC3=CC=CC=C3)NC(=O)C4CCCN4C(=O)C(CC5=CN=CN5)N
0,CCCCNC(=O)C(C)CC(C1CN(C(=N1)C2=CC(=C(C=C2)OC)OCCCOC)C(C)C)O
0,CC(C1=CC=CC=C1)C2=C(C3=C(N2C4=CC=CC=C4)C=CC=N3)C(=O)N5CCNCC5
0,CC(C)N(CC1CNCC1NC(=O)C2CCCCC2)C(=O)C3=CC(=C(C=C3)OC)OCCCOC
0,CCC(C)C(C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)OC)O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2
